2024-11-09  Baylor                   72  Arkansas                 67           Dallas, TX 
2024-11-09 @Cal Baptist              88  Kennesaw                 84            
2024-11-09  St Bonaventure           87 @Canisius                 78            
2024-11-09  Rider                    64 @Coppin St                53            
2024-11-09  Auburn                   74  Houston                  69           Houston, TX 
2024-11-09 @Kansas St                77  Cleveland St             64            
2024-11-09 @La Salle                 81  Lafayette                60            
2024-11-09  Tennessee                77 @Louisville               55            
2024-11-09 @Nebraska                 63  Bethune-Cookman          58            
2024-11-09 @Lipscomb                 78  Wofford                  69            
2024-11-09 @Evansville               96  Brescia                  49            
2024-11-09 @Xavier LA                62  Alcorn St                56            
2024-11-09 @East Carolina            63  Coastal Car              59            
2024-11-09 @Drexel                   73  Colgate                  56            
2024-11-09  MTSU                     79 @Abilene Chr              56            
2024-11-09 @Dayton                   71  Northwestern             66            
2024-11-09  New Mexico St            75 @Utah Tech                63            
2024-11-09 @Georgetown               69  Fairfield                57            
2024-11-09  Fordham                  57 @Seton Hall               56            
2024-11-09 @Winthrop                 82  Ark Little Rock          67            
2024-11-09 @Mercyhurst               88  Houghton                 62            
2024-11-09 @High Point               80  Jackson St               71            
2024-11-09 @Loyola MD                83  Lancaster Bib            42            
2024-11-09  Marist                   79 @Richmond                 72            
2024-11-09 @MD E Shore               96  PSU-Schuylkill           77            
2024-11-09  Wright St                81 @Miami OH                 68            
2024-11-09 @Nicholls St              93  MS Women                 44            
2024-11-09 @Wichita St               89  Montana St               69            
2024-11-09 @Minnesota                68  NE Omaha                 64            
2024-11-09  Memphis                  80 @UNLV                     74            
2024-11-09  Troy                     78 @New Orleans              61            
2024-11-09 @Providence               76  Stonehill                49            
2024-11-09 @St John's                96  Quinnipiac               73            
2024-11-09 @Dartmouth                81  Sacred Heart             76            
2024-11-09  Toledo                   90 @Marshall                 80            
2024-11-09 @Utah St                 103  Charlotte                74            
2024-11-09  VMI                      76 @Bellarmine               71            
2024-11-09 @Wagner                   94  Manor                    52            
2024-11-09 @Nevada                   63  Washington               53            
2024-11-09 @Ohio                     82  UNC Asheville            76            
2024-11-09  Liberty                  66 @Seattle                  64            
2024-11-09  Florida St               73  Rice                     65           Houston, TX 
2024-11-09 @Connecticut              92  New Hampshire            53            
2024-11-09 @Kentucky                100  Bucknell                 72            
2024-11-10  Pacific                  94  Life Pacific             41           Honolulu, HI 
2024-11-10  Maine                    69 @Brown                    67            
2024-11-10  Princeton                79 @Northeastern             76            
2024-11-10 @Vanderbilt               85  SE Missouri St           76            
2024-11-10 @Wyoming                  81  Tennessee St             66            
2024-11-10 @Montana                  94  Northwest Indian         44            
2024-11-10 @South Dakota             77  Mt Marty                 47            
2024-11-10 @Drake                    66  SF Austin                51            
2024-11-10 @Cal Poly                 99  Menlo                    66            
2024-11-10  North Florida           105 @Georgia Tech             93            
2024-11-10 @Indiana                  90  E Illinois               55            
2024-11-10  Wake Forest              72  Michigan                 70           Greensboro, NC 
2024-11-10 @St Louis                 95  Avila                    44            
2024-11-10 @Creighton                96  F Dickinson              70            
2024-11-10 @Detroit                  84  Niagara                  78 O1         
2024-11-10 @Gonzaga                  88  Arizona St               80            
2024-11-10 @American Univ            67  Harvard                  55            
2024-11-10 @Hawaii                   80  San Jose St              69            
2024-11-10 @Loyola-Chicago          105  Eureka                   53            
2024-11-10 @Robert Morris            79  Chatham                  51            
2024-11-10  St Francis PA            65 @Campbell                 64            
2024-11-10 @Miami FL                 88  Binghamton               64            
2024-11-10 @UAB                      82  SE Louisiana             72            
2024-11-10 @UTRGV                   110  Champion Bap             60            
2024-11-10 @Wisconsin                87  Appalachian St           56            
